"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20240212","우이신설선","4.19민주묘지","1964","1773","20240215"
"20240212","경원선","가능","3917","3600","20240215"
"20240212","8호선","가락시장","3306","4148","20240215"
"20240212","3호선","가락시장","3871","4054","20240215"
"20240212","경부선","가산디지털단지","5219","7054","20240215"
"20240212","7호선","가산디지털단지","10044","10367","20240215"
"20240212","9호선","가양","9554","10492","20240215"
"20240212","우이신설선","가오리","2271","2208","20240215"
"20240212","경의선","가좌","2791","3103","20240215"
"20240212","분당선","가천대","2918","3630","20240215"
"20240212","경춘선","가평","1779","1476","20240215"
"20240212","경인선","간석","3412","3247","20240215"
"20240212","경춘선","갈매","1431","1249","20240215"
"20240212","2호선","강남","31057","29983","20240215"
"20240212","분당선","강남구청","2393","2794","20240215"
"20240212","7호선","강남구청","4066","4654","20240215"
"20240212","5호선","강동","7931","8728","20240215"
"20240212","8호선","강동구청","4467","4721","20240215"
"20240212","경의선","강매","1564","1454","20240215"
"20240212","2호선","강변(동서울터미널)","26393","18771","20240215"
"20240212","5호선","강일","2994","2747","20240215"
"20240212","경춘선","강촌","453","421","20240215"
"20240212","5호선","개롱","2762","3044","20240215"
"20240212","경인선","개봉","11803","11662","20240215"
"20240212","분당선","개포동","2096","2079","20240215"
"20240212","9호선","개화","1086","997","20240215"
"20240212","5호선","개화산","2956","3065","20240215"
"20240212","5호선","거여","4383","4229","20240215"
"20240212","7호선","건대입구","7516","8339","20240215"
"20240212","2호선","건대입구","24237","26787","20240215"
"20240212","공항철도 1호선","검암","3682","3582","20240215"
"20240212","경강선","경기광주","4459","4372","20240215"
"20240212","과천선","경마공원","491","466","20240215"
"20240212","3호선","경복궁(정부서울청사)","16215","19341","20240215"
"20240212","3호선","경찰병원","2891","3237","20240215"
"20240212","공항철도 1호선","계양","6885","6304","20240215"
"20240212","5호선","고덕","4715","4814","20240215"
"20240212","6호선","고려대(종암)","3345","3611","20240215"
"20240212","수인선","고색","2082","2187","20240215"
"20240212","7호선","고속터미널","22149","7518","20240215"
"20240212","3호선","고속터미널","58909","34908","20240215"
"20240212","9호선","고속터미널","15248","14238","20240215"
"20240212","안산선","고잔","4414","4141","20240215"
"20240212","경의선","곡산","354","393","20240215"
"20240212","경강선","곤지암","1845","1974","20240215"
"20240212","경의선","공덕","2160","1760","20240215"
"20240212","5호선","공덕","4713","5017","20240215"
"20240212","6호선","공덕","7178","7046","20240215"
"20240212","공항철도 1호선","공덕","1515","2303","20240215"
"20240212","7호선","공릉(서울과학기술대)","5871","6440","20240215"
"20240212","9호선","공항시장","1523","1932","20240215"
"20240212","공항철도 1호선","공항화물청사","963","990","20240215"
"20240212","과천선","과천","3655","3359","20240215"
"20240212","경부선","관악","4964","4659","20240215"
"20240212","신림선","관악산(서울대)","2633","2916","20240215"
"20240212","5호선","광나루(장신대)","6940","6802","20240215"
"20240212","경부선","광명","3724","2121","20240215"
"20240212","7호선","광명사거리","11200","10916","20240215"
"20240212","경원선","광운대","4110","4319","20240215"
"20240212","5호선","광화문(세종문화회관)","15013","15159","20240215"
"20240212","6호선","광흥창(서강)","3453","3445","20240215"
"20240212","3호선","교대(법원.검찰청)","4839","2836","20240215"
"20240212","2호선","교대(법원.검찰청)","8970","11103","20240215"
"20240212","경부선","구로","9669","9967","20240215"
"20240212","2호선","구로디지털단지","23224","24201","20240215"
"20240212","분당선","구룡","1229","1310","20240215"
"20240212","중앙선","구리","7638","7832","20240215"
"20240212","9호선","구반포","312","362","20240215"
"20240212","6호선","구산","3955","3260","20240215"
"20240212","분당선","구성","2559","2673","20240215"
"20240212","2호선","구의(광진구청)","10834","11766","20240215"
"20240212","경인선","구일","3111","3097","20240215"
"20240212","3호선","구파발","12028","12846","20240215"
"20240212","중앙선","국수","495","454","20240215"
"20240212","9호선","국회의사당","2815","2912","20240215"
"20240212","5호선","군자(능동)","5723","7105","20240215"
"20240212","7호선","군자(능동)","7386","6588","20240215"
"20240212","경부선","군포","3154","3072","20240215"
"20240212","경춘선","굴봉산","112","149","20240215"
"20240212","5호선","굽은다리(강동구민회관앞)","5536","5423","20240215"
"20240212","경춘선","금곡","838","774","20240215"
"20240212","경의선","금릉","3384","3264","20240215"
"20240212","경부선","금정","15303","15633","20240215"
"20240212","경부선","금천구청","6203","6168","20240215"
"20240212","경의선","금촌","4666","4805","20240215"
"20240212","3호선","금호","4270","4083","20240215"
"20240212","분당선","기흥","5278","4873","20240215"
"20240212","5호선","길동","4217","4457","20240215"
"20240212","4호선","길음","10394","10187","20240215"
"20240212","경춘선","김유정","393","357","20240215"
"20240212","9호선","김포공항","6615","9696","20240215"
"20240212","5호선","김포공항","8407","6597","20240215"
"20240212","서해선","김포공항","3143","3725","20240215"
"20240212","공항철도 1호선","김포공항","9873","4695","20240215"
"20240212","5호선","까치산","14535","15246","20240215"
"20240212","2호선","낙성대(강감찬)","12491","14971","20240215"
"20240212","7호선","남구로","6675","6446","20240215"
"20240212","수인선","남동인더스파크","551","588","20240215"
"20240212","3호선","남부터미널(예술의전당)","18558","14544","20240215"
"20240212","7호선","남성","5295","5719","20240215"
"20240212","경부선","남영","3738","4351","20240215"
"20240212","8호선","남위례","3251","3349","20240215"
"20240212","경춘선","남춘천","2949","2826","20240215"
"20240212","4호선","남태령","748","594","20240215"
"20240212","8호선","남한산성입구(성남법원.검찰청)","6445","5864","20240215"
"20240212","7호선","내방","4841","5183","20240215"
"20240212","9호선","노들","2310","2018","20240215"
"20240212","9호선","노량진","13438","15416","20240215"
"20240212","경부선","노량진","5556","5880","20240215"
"20240212","7호선","노원","14567","15374","20240215"
"20240212","4호선","노원","17591","19528","20240215"
"20240212","3호선","녹번","7002","6752","20240215"
"20240212","6호선","녹사평(용산구청)","3121","3198","20240215"
"20240212","경원선","녹양","2734","2491","20240215"
"20240212","경원선","녹천","2102","1921","20240215"
"20240212","7호선","논현","5875","6542","20240215"
"20240212","경의선","능곡","2684","2590","20240215"
"20240212","8호선","단대오거리","5937","5997","20240215"
"20240212","수인선","달월","65","75","20240215"
"20240212","5호선","답십리","6805","6860","20240215"
"20240212","4호선","당고개","5937","5221","20240215"
"20240212","신림선","당곡","2325","2558","20240215"
"20240212","2호선","당산","7787","8341","20240215"
"20240212","9호선","당산","8002","9243","20240215"
"20240212","경부선","당정","3134","3058","20240215"
"20240212","일산선","대곡","1417","1188","20240215"
"20240212","과천선","대공원","5205","5244","20240215"
"20240212","2호선","대림(구로구청)","15168","15759","20240215"
"20240212","7호선","대림(구로구청)","8618","8403","20240215"
"20240212","분당선","대모산입구","2530","2557","20240215"
"20240212","경부선","대방","4163","5195","20240215"
"20240212","신림선","대방","1435","1266","20240215"
"20240212","경춘선","대성리","406","417","20240215"
"20240212","안산선","대야미","3002","2780","20240215"
"20240212","3호선","대청","4522","4661","20240215"
"20240212","3호선","대치","5876","5520","20240215"
"20240212","일산선","대화","6165","5312","20240215"
"20240212","6호선","대흥(서강대앞)","3397","3764","20240215"
"20240212","경원선","덕계","3085","2750","20240215"
"20240212","중앙선","덕소","3420","3340","20240215"
"20240212","경원선","덕정","3651","3608","20240215"
"20240212","분당선","도곡","3244","3152","20240215"
"20240212","3호선","도곡","2045","2164","20240215"
"20240212","중앙선","도농","5521","5337","20240215"
"20240212","2호선","도림천","567","620","20240215"
"20240212","경원선","도봉","3281","3179","20240215"
"20240212","경원선","도봉산","8094","5577","20240215"
"20240212","7호선","도봉산","4823","6568","20240215"
"20240212","중앙선","도심","1228","1057","20240215"
"20240212","경인선","도원","1865","1780","20240215"
"20240212","경인선","도화","2373","2248","20240215"
"20240212","3호선","독립문","4420","4998","20240215"
"20240212","6호선","독바위","1451","1709","20240215"
"20240212","경부선","독산","5896","6680","20240215"
"20240212","6호선","돌곶이","5641","5631","20240215"
"20240212","1호선","동대문","9047","8786","20240215"
"20240212","4호선","동대문","8444","8437","20240215"
"20240212","2호선","동대문역사문화공원(DDP)","9219","10266","20240215"
"20240212","5호선","동대문역사문화공원(DDP)","948","1041","20240215"
"20240212","4호선","동대문역사문화공원(DDP)","12104","9596","20240215"
"20240212","3호선","동대입구","6511","7850","20240215"
"20240212","경원선","동두천","1118","1111","20240215"
"20240212","경원선","동두천중앙","2120","1944","20240215"
"20240212","6호선","동묘앞","6374","6227","20240215"
"20240212","1호선","동묘앞","11504","13067","20240215"
"20240212","경인선","동암","10068","9609","20240215"
"20240212","경인선","동인천","9319","8940","20240215"
"20240212","9호선","동작(현충원)","1583","1457","20240215"
"20240212","4호선","동작(현충원)","1015","1112","20240215"
"20240212","경부선","두정","5032","5620","20240215"
"20240212","5호선","둔촌동","4151","4200","20240215"
"20240212","9호선2~3단계","둔촌오륜","403","488","20240215"
"20240212","9호선","등촌","4909","5521","20240215"
"20240212","경의선","디지털미디어시티","1483","1435","20240215"
"20240212","6호선","디지털미디어시티","5547","5916","20240215"
"20240212","공항철도 1호선","디지털미디어시티","3987","4373","20240215"
"20240212","2호선","뚝섬","10494","10344","20240215"
"20240212","7호선","뚝섬유원지","5981","5969","20240215"
"20240212","5호선","마곡","3927","4167","20240215"
"20240212","공항철도 1호선","마곡나루(서울식물원)","3530","3966","20240215"
"20240212","9호선","마곡나루(서울식물원)","5626","6409","20240215"
"20240212","일산선","마두","3725","3815","20240215"
"20240212","7호선","마들","6362","5965","20240215"
"20240212","경춘선","마석","2459","2275","20240215"
"20240212","5호선","마장","2731","2654","20240215"
"20240212","5호선","마천","3479","3618","20240215"
"20240212","5호선","마포","5438","5636","20240215"
"20240212","6호선","마포구청","6086","6141","20240215"
"20240212","중앙선","망우","4662","4558","20240215"
"20240212","6호선","망원","8851","10161","20240215"
"20240212","경원선","망월사","4201","4184","20240215"
"20240212","분당선","망포","6801","7487","20240215"
"20240212","분당선","매교","2521","2467","20240215"
"20240212","3호선","매봉","4045","4213","20240215"
"20240212","분당선","매탄권선","2779","2785","20240215"
"20240212","7호선","먹골","5172","5305","20240215"
"20240212","7호선","면목","7526","7497","20240215"
"20240212","4호선","명동","24086","25376","20240215"
"20240212","5호선","명일","4406","4414","20240215"
"20240212","경부선","명학","3089","3113","20240215"
"20240212","분당선","모란","10642","11471","20240215"
"20240212","8호선","모란","2795","2266","20240215"
"20240212","5호선","목동","7151","7629","20240215"
"20240212","8호선","몽촌토성(평화의문)","3013","3371","20240215"
"20240212","3호선","무악재","2117","2320","20240215"
"20240212","2호선","문래","7305","7955","20240215"
"20240212","경의선","문산","3808","3816","20240215"
"20240212","8호선","문정","4658","5290","20240215"
"20240212","분당선","미금","7310","7886","20240215"
"20240212","5호선","미사","9691","10358","20240215"
"20240212","4호선","미아(서울사이버대학)","7691","7438","20240215"
"20240212","4호선","미아사거리","16212","15527","20240215"
"20240212","안산선","반월","2540","2530","20240215"
"20240212","7호선","반포","3227","3061","20240215"
"20240212","5호선","발산","9368","10478","20240215"
"20240212","2호선","방배","5289","5542","20240215"
"20240212","5호선","방이","3347","3335","20240215"
"20240212","경원선","방학","5977","5679","20240215"
"20240212","5호선","방화","3691","3704","20240215"
"20240212","장항선","배방","1018","1075","20240215"
"20240212","경의선","백마","3779","3570","20240215"
"20240212","일산선","백석","5958","5836","20240215"
"20240212","경춘선","백양리","482","363","20240215"
"20240212","경인선","백운","4390","4032","20240215"
"20240212","6호선","버티고개","1049","1083","20240215"
"20240212","과천선","범계","15448","15503","20240215"
"20240212","경춘선","별내","1723","1711","20240215"
"20240212","경부선","병점","10601","11615","20240215"
"20240212","신림선","보라매","1761","1711","20240215"
"20240212","7호선","보라매","2826","3375","20240215"
"20240212","신림선","보라매공원","1013","1106","20240215"
"20240212","신림선","보라매병원","2215","2295","20240215"
"20240212","6호선","보문","3543","3785","20240215"
"20240212","우이신설선","보문","967","1106","20240215"
"20240212","경원선","보산","1304","1392","20240215"
"20240212","분당선","보정","1286","1206","20240215"
"20240212","분당선","복정","4","0","20240215"
"20240212","8호선","복정","3597","3428","20240215"
"20240212","장항선","봉명","819","822","20240215"
"20240212","9호선2~3단계","봉은사","9427","9883","20240215"
"20240212","2호선","봉천","11265","12213","20240215"
"20240212","6호선","봉화산(서울의료원)","3859","3900","20240215"
"20240212","경인선","부개","4931","4526","20240215"
"20240212","경강선","부발","1677","1853","20240215"
"20240212","경인선","부천","22926","22586","20240215"
"20240212","서해선","부천종합운동장","1177","890","20240215"
"20240212","경인선","부평","24373","23683","20240215"
"20240212","우이신설선","북한산보국문","3571","3363","20240215"
"20240212","우이신설선","북한산우이","3368","3252","20240215"
"20240212","3호선","불광","9992","11649","20240215"
"20240212","6호선","불광","3101","2739","20240215"
"20240212","7호선","사가정","8367","8527","20240215"
"20240212","4호선","사당","14217","14176","20240215"
"20240212","2호선","사당","20747","22824","20240215"
"20240212","경춘선","사릉","1234","1145","20240215"
"20240212","수인선","사리","3280","2541","20240215"
"20240212","9호선","사평","1677","1758","20240215"
"20240212","안산선","산본","9812","10148","20240215"
"20240212","8호선","산성","3363","3434","20240215"
"20240212","6호선","삼각지","3318","2840","20240215"
"20240212","4호선","삼각지","3179","4086","20240215"
"20240212","경강선","삼동","1201","1125","20240215"
"20240212","2호선","삼성(무역센터)","18936","18199","20240215"
"20240212","9호선2~3단계","삼성중앙","2020","2162","20240215"
"20240212","일산선","삼송","11771","11427","20240215"
"20240212","우이신설선","삼양","1163","1183","20240215"
"20240212","우이신설선","삼양사거리","1499","1583","20240215"
"20240212","9호선2~3단계","삼전","3565","3916","20240215"
"20240212","분당선","상갈","3025","3043","20240215"
"20240212","4호선","상계","10939","9789","20240215"
"20240212","7호선","상도","4659","5246","20240215"
"20240212","안산선","상록수","9095","8906","20240215"
"20240212","중앙선","상봉","4013","3920","20240215"
"20240212","7호선","상봉","9447","9470","20240215"
"20240212","6호선","상수","6274","6982","20240215"
"20240212","2호선","상왕십리","6506","6952","20240215"
"20240212","6호선","상월곡(한국과학기술연구원)","2836","2783","20240215"
"20240212","5호선","상일동","6578","6513","20240215"
"20240212","경춘선","상천","230","157","20240215"
"20240212","6호선","새절(신사)","6322","6216","20240215"
"20240212","신림선","샛강","804","948","20240215"
"20240212","9호선","샛강","2105","2010","20240215"
"20240212","경의선","서강대","1055","1161","20240215"
"20240212","5호선","서대문","4962","4954","20240215"
"20240212","경부선","서동탄","1058","1071","20240215"
"20240212","경원선","서빙고","889","923","20240215"
"20240212","신림선","서울대벤처타운","5266","5522","20240215"
"20240212","2호선","서울대입구(관악구청)","21665","25177","20240215"
"20240212","분당선","서울숲","5957","6162","20240215"
"20240212","1호선","서울역","39272","30196","20240215"
"20240212","경부선","서울역","13220","2158","20240215"
"20240212","경의선","서울역","1367","1075","20240215"
"20240212","공항철도 1호선","서울역","13858","10733","20240215"
"20240212","4호선","서울역","4825","11576","20240215"
"20240212","신림선","서울지방병무청","1375","1641","20240215"
"20240212","신림선","서원","1763","1911","20240215"
"20240212","경부선","서정리","5185","8261","20240215"
"20240212","2호선","서초","5379","4727","20240215"
"20240212","분당선","서현","13847","13958","20240215"
"20240212","6호선","석계","6113","6385","20240215"
"20240212","경원선","석계","4710","5430","20240215"
"20240212","경부선","석수","4836","4407","20240215"
"20240212","9호선2~3단계","석촌","4751","4717","20240215"
"20240212","8호선","석촌","4104","5399","20240215"
"20240212","9호선2~3단계","석촌고분","3166","3600","20240215"
"20240212","분당선","선릉","2560","4109","20240215"
